run;pct_Ni;pct_Cu;pH;circuit;Rs_input;Rct_input;R_film_input;Q0_SI;n_CPE;sigma;Rs_measured;R_film_measured;Rct_measured;omega_max;Cdl_eff;phase_max_deg;label;nyquist_png;bode_png
1;0;0;3.0;Randles;40.0;1200.0;0.0;5.31e-07;0.94;60.0;40.664850140385816;0.0;1283.7010803340604;2308.858191488878;3.373951486445976e-07;64.64569276324343;Au;Au_Nyquist.png;Au_Bode.png
2;0;0;7.0;Randles;60.0;5000.0;0.0;4.425e-07;0.94;45.0;60.76670264138053;0.0;4685.349705112909;718.0437111212967;2.972398995355114e-07;72.33811441161751;Au;Au_Nyquist.png;Au_Bode.png
3;0;0;11.0;2-TC;10.0;2000.0;150.0;6.195e-07;0.92;50.0;22.654259952516234;0.0;2269.723440634438;1447.1005511762098;3.04458671630059e-07;58.95203737857864;Au;Au_Nyquist.png;Au_Bode.png
4;0;10;3.0;Randles;40.0;1130.0;0.0;6.903e-07;0.905;63.0;41.27516591946414;0.0;1063.6857210511755;2916.3962761324665;3.223592492605553e-07;61.234643082582906;Au90%_Cu10%;Au90%_Cu10%_Nyquist.png;Au90%_Cu10%_Bode.png
5;0;10;7.0;2-TC;60.0;4700.0;40.0;5.7525e-07;0.903;48.0;100.4242918473884;0.0;4593.952799801447;718.0437111212967;3.031535012063448e-07;65.37821540978555;Au90%_Cu10%;Au90%_Cu10%_Nyquist.png;Au90%_Cu10%_Bode.png
6;0;10;11.0;2-TC;10.0;2200.0;215.0;8.053499999999999e-07;0.883;54.0;24.332839087124245;0.0;2431.127623875773;1447.1005511762098;2.8424545750563976e-07;61.56169577878334;Au90%_Cu10%;Au90%_Cu10%_Nyquist.png;Au90%_Cu10%_Bode.png
7;0;30;3.0;Randles;40.0;990.0;0.0;1.0089e-06;0.835;69.0;43.836079175279615;0.0;1022.7899119356154;3683.798022239985;2.654102883399754e-07;54.54868637377024;Au70%_Cu30%;Au70%_Cu30%_Nyquist.png;Au70%_Cu30%_Bode.png
8;0;30;7.0;2-TC;60.0;4100.0;120.0;8.4075e-07;0.829;54.0;134.44718035255636;0.0;4269.817571956459;906.9851119197978;2.582203833915317e-07;53.4160247922865;Au70%_Cu30%;Au70%_Cu30%_Nyquist.png;Au70%_Cu30%_Bode.png
9;0;30;11.0;2-TC;10.0;2600.0;345.0;1.1770499999999998e-06;0.809;62.0;31.65903706844009;0.0;3044.3160990317856;1447.1005511762098;2.2699252023235875e-07;63.50406307103402;Au70%_Cu30%;Au70%_Cu30%_Nyquist.png;Au70%_Cu30%_Bode.png
10;10;0;3.0;Randles;40.0;1145.4;0.0;6.371999999999999e-07;0.917;61.5;41.03160806177743;0.0;1048.1762421770238;2916.3962761324665;3.271290806735531e-07;62.27252388062946;Au90%_Ni10%;Au90%_Ni10%_Nyquist.png;Au90%_Ni10%_Bode.png
11;10;0;7.0;Randles;60.0;4631.4;0.0;5.31e-07;0.916;47.5;61.22797701430475;0.0;4561.243297801632;718.0437111212967;3.053274698825474e-07;69.8305163675472;Au90%_Ni10%;Au90%_Ni10%_Nyquist.png;Au90%_Ni10%_Bode.png
12;10;0;11.0;2-TC;10.0;2589.6;335.0;7.433999999999999e-07;0.896;55.0;21.92878259292423;0.0;3100.7361700445595;1145.6433368931869;2.815047653835843e-07;65.17517340883322;Au90%_Ni10%;Au90%_Ni10%_Nyquist.png;Au90%_Ni10%_Bode.png
13;10;10;3.0;Randles;40.0;1075.68;0.0;7.964999999999999e-07;0.8819999999999999;64.5;41.86001309145538;0.0;1094.4477303485478;2916.3962761324665;3.13298589762738e-07;58.98155399826781;Au80%_Ni10%_Cu10%;Au80%_Ni10%_Cu10%_Nyquist.png;Au80%_Ni10%_Cu10%_Bode.png
14;10;10;7.0;2-TC;60.0;4332.6;40.0;6.6375e-07;0.8789999999999999;50.5;101.22157161560904;0.0;4586.119583716882;718.0437111212967;3.036712955722338e-07;62.73806466404096;Au80%_Ni10%_Cu10%;Au80%_Ni10%_Cu10%_Nyquist.png;Au80%_Ni10%_Cu10%_Bode.png
15;10;10;11.0;2-TC;10.0;2788.8;400.0;9.2925e-07;0.859;59.0;24.93340422523547;0.0;3335.566591474568;1145.6433368931869;2.616862785158528e-07;65.50765325693384;Au80%_Ni10%_Cu10%;Au80%_Ni10%_Cu10%_Nyquist.png;Au80%_Ni10%_Cu10%_Bode.png
16;10;30;3.0;Randles;40.0;936.24;0.0;1.1150999999999995e-06;0.8119999999999999;70.5;45.379799914495486;0.0;930.1092676225188;4653.128924802815;2.3105796419242538e-07;52.29786183149383;Au60%_Ni10%_Cu30%;Au60%_Ni10%_Cu30%_Nyquist.png;Au60%_Ni10%_Cu30%_Bode.png
17;10;30;7.0;2-TC;60.0;3735.0;120.0;9.292499999999998e-07;0.8049999999999999;56.5;138.46218158930648;0.0;3797.5492356298623;1145.6433368931869;2.2985139991740307e-07;50.80541364557606;Au60%_Ni10%_Cu30%;Au60%_Ni10%_Cu30%_Nyquist.png;Au60%_Ni10%_Cu30%_Bode.png
18;10;30;11.0;2-TC;10.0;3187.2;530.0;1.3009499999999996e-06;0.785;67.0;35.05929155988573;0.0;4082.3103474686864;1145.6433368931869;2.1381814065313005e-07;65.3008045602679;Au60%_Ni10%_Cu30%;Au60%_Ni10%_Cu30%_Nyquist.png;Au60%_Ni10%_Cu30%_Bode.png
