f_Hz,omega_rad_s,Z_real_Ohm,Z_imag_Ohm,Z_mag_Ohm,Z_phase_deg
1.000000e-02,6.283185e-02,5.239380e+03,-1.803939e+02,5.242485e+03,-1.9719
1.263134e-02,7.936502e-02,5.219565e+03,-1.608104e+02,5.222041e+03,-1.7647
1.595506e-02,1.002486e-01,5.201925e+03,-1.434583e+02,5.203903e+03,-1.5797
2.015338e-02,1.266274e-01,5.186220e+03,-1.281094e+02,5.187802e+03,-1.4150
2.545641e-02,1.599473e-01,5.172233e+03,-1.145646e+02,5.173502e+03,-1.2689
3.215484e-02,2.020348e-01,5.159773e+03,-1.026526e+02,5.160794e+03,-1.1397
4.061586e-02,2.551970e-01,5.148668e+03,-9.222724e+01,5.149494e+03,-1.0262
5.130326e-02,3.223479e-01,5.138763e+03,-8.316714e+01,5.139436e+03,-0.9272
6.480286e-02,4.071684e-01,5.129922e+03,-7.537447e+01,5.130476e+03,-0.8418
8.185467e-02,5.143081e-01,5.122020e+03,-6.877513e+01,5.122482e+03,-0.7693
1.033934e-01,6.496398e-01,5.114945e+03,-6.331924e+01,5.115337e+03,-0.7092
1.305997e-01,8.205818e-01,5.108594e+03,-5.898241e+01,5.108935e+03,-0.6615
1.649648e-01,1.036504e+00,5.102875e+03,-5.576778e+01,5.103180e+03,-0.6261
2.083726e-01,1.309244e+00,5.097700e+03,-5.370910e+01,5.097983e+03,-0.6036
2.632024e-01,1.653749e+00,5.092987e+03,-5.287483e+01,5.093261e+03,-0.5948
3.324598e-01,2.088906e+00,5.088656e+03,-5.337374e+01,5.088935e+03,-0.6009
4.199411e-01,2.638568e+00,5.084627e+03,-5.536205e+01,5.084928e+03,-0.6238
5.304417e-01,3.332864e+00,5.080818e+03,-5.905257e+01,5.081161e+03,-0.6659
6.700188e-01,4.209852e+00,5.077140e+03,-6.472629e+01,5.077553e+03,-0.7304
8.463232e-01,5.317605e+00,5.073493e+03,-7.274680e+01,5.074014e+03,-0.8215
1.069019e+00,6.716846e+00,5.069756e+03,-8.357818e+01,5.070445e+03,-0.9445
1.350314e+00,8.484273e+00,5.065780e+03,-9.780706e+01,5.066725e+03,-1.1061
1.705627e+00,1.071677e+01,5.061374e+03,-1.161693e+02,5.062707e+03,-1.3148
2.154435e+00,1.353671e+01,5.056278e+03,-1.395820e+02,5.058204e+03,-1.5813
2.721339e+00,1.709868e+01,5.050137e+03,-1.691813e+02,5.052970e+03,-1.9187
3.437414e+00,2.159791e+01,5.042452e+03,-2.063645e+02,5.046673e+03,-2.3435
4.341913e+00,2.728105e+01,5.032511e+03,-2.528364e+02,5.038859e+03,-2.8762
5.484417e+00,3.445961e+01,5.019287e+03,-3.106524e+02,5.028891e+03,-3.5416
6.927551e+00,4.352708e+01,5.001287e+03,-3.822498e+02,5.015874e+03,-4.3706
8.750422e+00,5.498052e+01,4.976346e+03,-4.704450e+02,4.998534e+03,-5.4005
1.105295e+01,6.944774e+01,4.941323e+03,-5.783595e+02,4.975055e+03,-6.6758
1.396135e+01,8.772177e+01,4.891717e+03,-7.092075e+02,4.942861e+03,-8.2493
1.763505e+01,1.108043e+02,4.821196e+03,-8.658383e+02,4.898327e+03,-10.1812
2.227543e+01,1.399607e+02,4.721141e+03,-1.049884e+03,4.836469e+03,-12.5374
2.813684e+01,1.767890e+02,4.580435e+03,-1.260344e+03,4.750669e+03,-15.3847
3.554059e+01,2.233081e+02,4.385965e+03,-1.491540e+03,4.632643e+03,-18.7817
4.489251e+01,2.820680e+02,4.124576e+03,-1.730758e+03,4.472992e+03,-22.7639
5.670524e+01,3.562895e+02,3.787140e+03,-1.956674e+03,4.262746e+03,-27.3237
7.162629e+01,4.500413e+02,3.374465e+03,-2.140595e+03,3.996143e+03,-32.3890
9.047357e+01,5.684622e+02,2.902638e+03,-2.252431e+03,3.674065e+03,-37.8113
1.142802e+02,7.180437e+02,2.403442e+03,-2.270721e+03,3.306464e+03,-43.3735
1.443512e+02,9.069851e+02,1.916999e+03,-2.191662e+03,2.911747e+03,-48.8245
1.823348e+02,1.145643e+03,1.479489e+03,-2.030866e+03,2.512629e+03,-53.9266
2.303132e+02,1.447101e+03,1.113247e+03,-1.816458e+03,2.130455e+03,-58.4972
2.909163e+02,1.827881e+03,8.243535e+02,-1.578642e+03,1.780918e+03,-62.4268
3.674662e+02,2.308858e+03,6.066595e+02,-1.341888e+03,1.472650e+03,-65.6726
4.641589e+02,2.916396e+03,4.479092e+02,-1.122053e+03,1.208150e+03,-68.2388
5.862947e+02,3.683798e+03,3.346313e+02,-9.271807e+02,9.857192e+02,-70.1548
7.405685e+02,4.653129e+03,2.548335e+02,-7.597443e+02,8.013436e+02,-71.4575
9.354369e+02,5.877523e+03,1.989566e+02,-6.188838e+02,6.500776e+02,-72.1786
1.181582e+03,7.424097e+03,1.598609e+02,-5.020633e+02,5.268994e+02,-72.3381
1.492496e+03,9.377626e+03,1.324213e+02,-4.061179e+02,4.271618e+02,-71.9406
1.885221e+03,1.184519e+04,1.130467e+02,-3.278402e+02,3.467835e+02,-70.9747
2.381286e+03,1.496206e+04,9.925543e+01,-2.642689e+02,2.822937e+02,-69.4146
3.007883e+03,1.889908e+04,8.934479e+01,-2.128052e+02,2.307998e+02,-67.2252
3.799357e+03,2.387207e+04,8.214866e+01,-1.712360e+02,1.899215e+02,-64.3711
4.799096e+03,3.015361e+04,7.686723e+01,-1.377121e+02,1.577124e+02,-60.8309
6.061899e+03,3.808803e+04,7.294951e+01,-1.107070e+02,1.325808e+02,-56.6174
7.656988e+03,4.811028e+04,7.001337e+01,-8.897090e+01,1.132153e+02,-51.7999
9.671799e+03,6.076970e+04,6.779162e+01,-7.148639e+01,9.851907e+01,-46.5196
1.221677e+04,7.676025e+04,6.609556e+01,-5.742811e+01,8.755919e+01,-40.9862
1.543142e+04,9.695845e+04,6.479057e+01,-4.612845e+01,7.953396e+01,-35.4494
1.949194e+04,1.224715e+05,6.377947e+01,-3.704838e+01,7.375909e+01,-30.1516
